file_name,label
001.png,1
002.png,2
003.png,1
004.png,6
005.png,8
006.png,10-1
007.png,10-2
008.png,2
009.png,4
010.png,4
011.png,10-1
012.png,5
013.png,9
014.png,1
015.png,5
016.png,9
017.png,8
018.png,5
019.png,9
020.png,7
021.png,1
022.png,8
023.png,9
024.png,4
025.png,10-1
026.png,4
027.png,8
028.png,9
029.png,7
030.png,8
031.png,3
032.png,10-2
033.png,1
034.png,10-1
035.png,7
036.png,9
037.png,10-1
038.png,9
039.png,6
040.png,6
041.png,7
042.png,10-1
043.png,6
044.png,6
045.png,10-2
046.png,8
047.png,3
048.png,3
049.png,3
050.png,5
051.png,9
052.png,5
053.png,9
054.png,2
055.png,3
056.png,2
057.png,6
058.png,5
059.png,3
060.png,3
061.png,6
062.png,3
063.png,3
064.png,8
065.png,7
066.png,6
067.png,1
068.png,2
069.png,1
070.png,6
071.png,8
072.png,6
073.png,9
074.png,2
075.png,10-1
076.png,7
077.png,6
078.png,9
079.png,2
080.png,1
081.png,5
082.png,3
083.png,3
084.png,3
085.png,1
086.png,2
087.png,9
088.png,6
089.png,10-2
090.png,3
091.png,9
092.png,9
093.png,6
094.png,10-2
095.png,1
096.png,9
097.png,10-2
098.png,1
099.png,3
100.png,2
101.png,2
102.png,10-2
103.png,6
104.png,1
105.png,6
106.png,9
107.png,9
108.png,10-1
109.png,8
110.png,7
111.png,4
112.png,5
113.png,10-1
114.png,5
115.png,10-2
116.png,5
117.png,9
118.png,7
119.png,5
120.png,10-2
121.png,3
122.png,10-2
123.png,5
124.png,9
125.png,5
126.png,2
127.png,3
128.png,7
129.png,8
130.png,10-2
131.png,1
132.png,1
133.png,8
134.png,2
135.png,1
136.png,3
137.png,6
138.png,8
139.png,5
140.png,1
141.png,3
142.png,9
143.png,4
144.png,10-1
145.png,10-1
146.png,6
147.png,4
148.png,5
149.png,3
150.png,4
151.png,8
152.png,8
153.png,7
154.png,4
155.png,3
156.png,3
157.png,4
158.png,7
159.png,10-1
160.png,8
161.png,8
162.png,5
163.png,9
164.png,3
165.png,5
166.png,3
167.png,3
168.png,7
169.png,5
170.png,5
171.png,1
172.png,4
173.png,4
174.png,2
175.png,7
176.png,3
177.png,6
178.png,7
179.png,3
180.png,6
181.png,10-1
182.png,10-1
183.png,1
184.png,10-1
185.png,3
186.png,9
187.png,4
188.png,5
189.png,10-2
190.png,8
191.png,6
192.png,4
193.png,2
194.png,5
195.png,10-1
196.png,5
197.png,4
198.png,9
199.png,3
200.png,1
201.png,5
202.png,3
203.png,4
204.png,10-1
205.png,6
206.png,8
207.png,6
208.png,10-1
209.png,7
210.png,8
211.png,5
212.png,8
213.png,3
214.png,6
215.png,1
